perl-B-Generate	1.56
perl-B-Hooks-EndOfScope	0.26
perl-B-Hooks-OP-Annotation	0.44
perl-B-Hooks-OP-Check	0.22
perl-B-Hooks-OP-Check-EntersubForCV	0.10
perl-B-Hooks-OP-PPAddr	0.06
perl-B-Hooks-Parser	0.21
perl-B-Keywords	1.26
perl-B-Lint	1.20
perl-B-Utils	0.27
perl-BIND-Conf_Parser	0.97
perl-BSD-Resource	1.2911
perl-Badger	0.16
perl-Beam-Emitter	1.007
perl-Benchmark-Timer	0.7112
perl-Bencode	1.502
perl-BerkeleyDB	0.65
perl-BerkeleyDB-Manager	0.12
perl-Best	0.15
perl-Biblio-EndnoteStyle	0.06
perl-Bio-LITE-Taxonomy	0.07
perl-BioPerl	1.7.8
perl-Bit-Vector	7.4
perl-Boost-Geometry-Utils	0.15
perl-Border-Style	0.01
perl-BorderStyle	3.0.2
perl-BorderStyles-Standard	0.014
perl-Bot-BasicBot	0.93
perl-Bread-Board	0.37
perl-Browser-Open	0.04
perl-Bundle-CPAN	1.863
perl-Business-AU-ABN	1.09
perl-Business-AU-ACN	0.31
perl-Business-AU-TFN	0.1
perl-Business-CreditCard	0.39
perl-Business-Hours	0.13
perl-Business-IBAN	0.06
perl-Business-ISBN	3.008
perl-Business-ISBN-Data	20230528.001
perl-Business-ISMN	1.203
perl-Business-ISSN	1.005
perl-Business-OnlinePayment	3.05
perl-Business-PayPal-API	0.77
perl-Business-SLA	0.05
perl-Bytes-Random-Secure	0.29
perl-CAM-PDF	1.60
perl-CBOR-XS	1.86
perl-CDB_File	1.05
perl-CDDB	1.222
perl-CDDB_get	2.28
perl-CGI	4.57
perl-CGI-Ajax	0.707
perl-CGI-Application	4.61
perl-CGI-Application-Plugin-AutoRunmode	0.18
perl-CGI-Application-Plugin-ConfigAuto	1.33
perl-CGI-Application-Plugin-DevPopup	1.08
perl-CGI-Application-Plugin-DevPopup-Params	1.01
perl-CGI-Application-Plugin-DevPopup-Query	1.03
perl-CGI-Application-Plugin-FillInForm	1.15
perl-CGI-Application-Plugin-Forward	1.06
perl-CGI-Application-Plugin-JSON	1.02
perl-CGI-Application-Plugin-Session	1.05
perl-CGI-Compile	0.25
perl-CGI-Cookie-XS	0.18
perl-CGI-Emulate-PSGI	0.23
perl-CGI-Enurl	1.07
perl-CGI-Ex	2.54
perl-CGI-Expand	2.05
perl-CGI-Fast	2.16
perl-CGI-FastTemplate	1.09
perl-CGI-FormBuilder	3.10
perl-CGI-FormBuilder-Source-Perl	0.01
perl-CGI-PSGI	0.15
perl-CGI-Session	4.48
perl-CGI-Session-Serialize-yaml	4.26
perl-CGI-Simple	1.280
perl-CGI-Struct	1.21
perl-CGI-Untaint	1.26
perl-CHI	0.61
perl-CHI-Driver-Memcached	0.16
perl-CHI-Driver-Redis	0.10
perl-CLASS	1.1.7
perl-CLI-Osprey	0.08
perl-CMS-MediaWiki	0.8014
perl-CORBA-IDL	2.64
perl-CPAN	2.36
perl-CPAN-02Packages-Search	0.002
perl-CPAN-Changes	0.400002
perl-CPAN-Checksums	2.14
perl-CPAN-Common-Index	0.010
perl-CPAN-DistnameInfo	0.12
perl-CPAN-Meta	2.150010
perl-CPAN-Meta-Check	0.017
perl-CPAN-Meta-Requirements	2.143000
perl-CPAN-Meta-YAML	0.018
perl-CPAN-Mini	1.111016
perl-CPAN-Perl-Releases	5.20230703
perl-CPAN-Reporter	1.2019
perl-CPAN-Reporter-Smoker	0.29
perl-CPAN-SQLite	0.212
perl-CPAN-Testers-Common-Article	0.47
perl-CPAN-Uploader	0.103018
perl-CPANPLUS	0.9914
perl-CPANPLUS-Dist-Build	0.90
perl-CSS	1.09
perl-CSS-LESSp	0.86
perl-CSS-Minifier	0.01
perl-CSS-Minifier-XS	0.13
perl-CSS-Sass	3.6.4
perl-CSS-Squish	0.10
perl-CSS-Tiny	1.20
perl-Cache	2.11
perl-Cache-Adaptive	0.03
perl-Cache-Cache	1.08
perl-Cache-CacheFactory	1.10
perl-Cache-FastMemoryCache	0.01
perl-Cache-FastMmap	1.57
perl-Cache-Funky	0.06
perl-Cache-LRU	0.04
perl-Cache-Memcached	1.30
perl-Cache-Memcached-Fast	0.28
perl-Cache-Ref	0.04
perl-Cache-Simple-TimedExpiry	0.27
perl-Cairo	1.109
perl-Cairo-GObject	1.005
perl-Calendar-Simple	2.0.1
perl-Canary-Stability	2013
perl-Capture-Tiny	0.48
perl-Carp	1.50
perl-Carp-Always	0.16
perl-Carp-Assert	0.22
perl-Carp-Assert-More	2.3.0
perl-Carp-Clan	6.08
perl-Carp-Clan-Share	0.013
perl-Carp-REPL	0.18
perl-Carton	1.0.35
perl-Catalyst-Action-REST	1.21
